constant,value,units,tag,tier,form,block,band,errs,resolves_by,decided_by,precedent,supplied_by,default,superseded_by,note
CAPITAL_FAILURE_RATE,0.005,fraction of capital stock per year,placeholder,,"catastrophic failure beyond recoverability, triggering D1 write-down.",TEH destruction and ε-scaling,,,"observed catastrophic-failure rates by asset class. Insurance and asset-registry loss data measure this directly; ASSET_TYPES in this file already carries per-class threshold ages, so a measured pass should produce a per-class rate rather than one economy-wide 0.5%.",,,,,,
CAPITAL_WRITEDOWN_MONITORING_SLOPE,0.3,fraction of the failure rate removable at ε=1,placeholder,,"better monitoring at high ε reduces catastrophic failure — structurally right in direction (detected degradation is repairable degradation), asserted in magnitude.",TEH destruction and ε-scaling,,,measured failure-rate reduction attributable to condition monitoring. Note this shares the framework's monitoring-eyesight assumption with ENV_MONITORING_SATURATION_TEH_PER_CAPITA and neither is measured.,,,,,,
LABOR_INCOME_MIN_TEH,100000000.0,TEH per period (at the 1M reference population),convention,,"a numerical guard, not an economic claim — it keeps period labour income from reaching zero and producing division-by-zero at high ε, which the ε-coherence rule requires every function to survive.",TEH destruction and ε-scaling,,,,,,,,,
WORKFORCE_FRACTION_MIN,0.05,fraction of population in the workforce,placeholder,,"the minimum workforce retained at any automation level. Structural in direction — full automation still needs someone, which Condition IV asserts as distributed competency — and asserted in level.",TEH destruction and ε-scaling,,,"the minimum staffing that holds ESSENTIAL_DOMAINS above COMPETENCY_THRESHOLD; that makes it derivable from two other constants in this file rather than independent, and it is currently set independently of both.",,,,,,
ANNUAL_DEATH_RATE,0.01,fraction of population per year,bounded,,"crude death rate. EXOGENOUS — nothing in the model links mortality to the deferred personal-EOH deficit that core/eoh_fulfillment.py now tracks, so a severe unserved survival obligation and this rate are independent. That is a known limit, stated because the deficit reports HOURS, not outcomes.",TEH destruction and ε-scaling,≈0.007–0.011 per year across developed-world crude death rates (UN WPP / national vital statistics),"NEITHER. Near the top of the band, and directly measurable — one of the cheapest debts in this file to close. The real limit is not the value: mortality is EXOGENOUS, and nothing links it to the deferred personal-EOH deficit the fulfillment layer now tracks.","national vital statistics or UN WPP for the jurisdiction being modelled. 1%/yr is a plausible developed-world crude rate and directly measurable, making this one of the cheaper CHOSEN debts to close.",,,,,,
ESTATE_INHERITANCE_FRACTION,0.35,fraction of the excess above reserve,normative,,"the D5 split on death — inherited (circulatory), levied to Trust (circulatory), and the remainder written down. Note the three shares are a distributional design, and RECAL_ESTATE_CAPITAL_ESCHEAT_SHARE deliberately reuses the 0.15 levy fraction so capital estates get the same treatment as TEH estates rather than a new rule.",TEH destruction and ε-scaling,,,,"a charter decision on inheritance. There is no measurement of what fraction of an estate SHOULD pass to heirs; comparative inheritance-tax schedules give precedent for the range, not the value.",,,,,
ESTATE_LEVY_FRACTION,0.15,fraction of the excess above reserve,normative,,"the D5 split on death — inherited (circulatory), levied to Trust (circulatory), and the remainder written down. Note the three shares are a distributional design, and RECAL_ESTATE_CAPITAL_ESCHEAT_SHARE deliberately reuses the 0.15 levy fraction so capital estates get the same treatment as TEH estates rather than a new rule.",TEH destruction and ε-scaling,,,,"a charter decision on inheritance. There is no measurement of what fraction of an estate SHOULD pass to heirs; comparative inheritance-tax schedules give precedent for the range, not the value.",,,,,
ESTATE_PERSONAL_RESERVE_YEARS,10.0,years of basket cost,normative,,the unconditionally preserved personal reserve — the part of an estate D5 never touches.,TEH destruction and ε-scaling,,,,a charter decision. It is a commitment about how much security a person may hold beyond their own lifetime without it being reclaimed.,,,,,
ACCUMULATION_CEILING_MULTIPLIER,3.5,multiple of base lifetime earnings,normative,,the D6 accumulation ceiling above which excess TEH is committed to capital formation rather than sitting in perpetual savings. Disabled by default.,TEH destruction and ε-scaling,,,,"a charter decision on the maximum permitted accumulation — the framework's most direct statement about tolerable wealth concentration, and it belongs in deliberation. Note it interacts with M_MAX: a 6× multiplier cap and a 3.5× accumulation cap are two different answers to the same question and have not been reconciled.",,,,,
BASE_LIFETIME_EARNINGS_TEH,87360.0,TEH over a career,derived,,"2080 TEH/yr × 42-yr career at a 1× multiplier = 87,360. Note the 2080 differs from H_REF's 2000 (2080 = 40 h × 52 wk, with no leave), so the repo carries two work-year conventions; this one is the FTE-hours convention the multiplier registry also uses.",TEH destruction and ε-scaling,,,n/a — arithmetic from a stated career length and work-year. The career length (42 yr) is close to SKILL_WORKING_LIFE_YEARS (40) and should probably be bound to it rather than restated.,,,,,,
SUFF_LEVY_RATE,0.0125,fraction of labor income,normative,,,Fiscal architecture,,,,"charter. RETAGGED 2026-08-09 from placeholder, after running the derivation its old pointer named. min_levy_for_solvency() returns cover_expenditures_rate = None at EVERY ε on the canonical configuration: the dividend alone runs a surplus (630M TEH against a 397M peak expenditure at ε=0), so the levy rate REQUIRED for solvency is zero throughout. This constant is therefore not a mis-calibrated solvency figure awaiting measurement — it is a redistributive commitment, and deriving it would set it to 0, which is a different policy rather than a better calibration.",,,,,"at canonical ε=0.40 it raises ≈6.2M TEH/yr against a 307M TEH guarantee — it does not fund the guarantee and was never sized to; the Trust dividend does. That is the whole finding, and it is why the solvency derivation cannot set it. What a charter would weigh instead: the levy's incidence on labour income at low ε, where labour income is nearly all income."
SUFF_GUARANTEE_EPS_DECAY,0.5,"fraction, per ε unit",normative,,,Fiscal architecture,,,,"nothing measures how fast a guarantee floor should shrink as automation rises; it is a distributional commitment about who carries the transition. Argue it, do not fit it.",,,,,
SUFF_GUARANTEE_STRUCTURAL_MIN,0.05,fraction of the guarantee,normative,,"the guarantee floor decays with ε toward this residual, never below it — effective = MIN + (floor_fraction − MIN) × (1 − SUFF_GUARANTEE_EPS_DECAY × ε) and `floor_fraction` is itself clamped up to MIN, so no caller can set a guarantee below it.",Fiscal architecture,,,,"a charter commitment that a floor exists AT ALL automation levels. It is the companion to SUFF_GUARANTEE_EPS_DECAY: the decay says how fast the guarantee shrinks, this says what it may never shrink past. Nothing measures an irreducible entitlement — arguing it is the point.",,,,,"migrated from core/fiscal.py 2026-08-28, where it was a shadow constant. It is the floor's floor, so it binds precisely where the model is least tested: ε→1, with human labour income near zero."
CARE_AUTOMATION_FLOOR,0.15,fraction of the full care rate,normative,,care_stipend's automation factor is FLOOR + (1 − FLOOR) × (1 − ε) so the stipend falls with automation to this residual and no further.,Fiscal architecture,,,,"the claim that some fraction of care is RELATIONAL and cannot be automated at any ε — a commitment about what care IS, not a measurement of what machines can do. Block II reached the same conclusion from the other side: care is the least abatable component (84.4% of the residual at full abatement), so a non-zero floor here is consistent with the abatement model rather than an independent assertion.",,,,,"migrated from core/fiscal.py 2026-08-28 as a shadow constant. Whether 0.15 is the right residual is arguable; that the residual is non-zero is the load-bearing part, and it is what the tests pin."
PROVIDER_CAP_EQUIVALENTS,2.5,full-infant-rate dependent equivalents,normative,,"the per-provider cap on care stipend — provider_cap_teh = base_infant_stipend × CAP_EQUIVALENTS × automation_factor so one provider may claim at most this many full-rate dependents' worth, however many dependents they actually have.",Fiscal architecture,,,,"a policy limit on how much care one person may be paid to provide, which is a judgement about capacity and about gaming, not a measurable quantity. Note it interacts with DEPENDENT_SCALE: the diminishing per-dependent rate already reduces large households, and this cap binds on top of that.",,,,,migrated from core/fiscal.py 2026-08-28 as a shadow constant.
